id,priority,type,title,url,topic,notes
project_001,P0,auto_html,市规自委资格预审公告,https://ghzrzyw.beijing.gov.cn/zhengwuxinxi/tzgg/hd/202605/t20260509_4643047.html,project,项目任务第一权威来源
project_002,P0,auto_html,首都之窗启动征集新闻,https://www.beijing.gov.cn/ywdt/gzdt/202605/t20260507_4639102.html,project,征集启动和主承办单位
project_003,P0,auto_html,京张AI创新带系列何以京张,https://www.beijing.gov.cn/fuwu/lqfw/gggs/202603/t20260330_4569001.html,project_culture,京张历史和公园活力
project_004,P0,auto_html,京张AI创新带系列原点爆发,https://www.beijing.gov.cn/fuwu/lqfw/gggs/202604/t20260401_4571735.html,project_industry,AI原点社区
project_005,P1,auto_html,海淀AI未来专题AI原点社区,https://www.bjhd.gov.cn/ztzx/2025/aifuture/jq/aiyd/,project_industry,专题列表及子页
project_006,P1,auto_html,京张铁路遗址公共空间改造提升工程二期,https://www.bjhd.gov.cn/ztzx/2025/ysxtj/ttdkj/gzgxfn/202503/t20250314_4760993.shtml,public_realm,二期和9公里公园
policy_001,P0,auto_html,北京城市总体规划2016-2035,https://www.beijing.gov.cn/gongkai/guihua/wngh/csztgh/201907/t20190701_100008.html,planning,上位规划
policy_002,P0,auto_html,海淀分区规划成果公布,https://zyk.bjhd.gov.cn/zwdt/xxgk/tzgg/201912/t20191211_4363066_hd.shtml,planning,海淀国土空间规划入口
policy_003,P0,auto_html,海淀十五五规划纲要,https://zyk.bjhd.gov.cn/zwdt/zcwj/202604/t20260428_4813297.shtml,planning_policy,AI产业高地和城市更新
policy_004,P0,auto_html,海淀1+X+1现代化产业体系,https://www.bjhd.gov.cn/ztzx/2026/2026jjshgzlfzdh/yw/202603/t20260303_4806875.shtml,industry,海淀产业体系
policy_005,P0,auto_pdf,中关村科学城通用人工智能实施方案PDF,https://zyk.bjhd.gov.cn/zwdt/szgb/wqgb/202303/202311/P020231120520239626741.pdf,ai_policy,政府公报PDF
policy_006,P0,auto_html,北京市促进通用人工智能创新发展的若干措施,https://www.beijing.gov.cn/zhengce/zfwj/202305/t20230530_3116869.html,ai_policy,北京通用AI政策
policy_007,P0,auto_html,北京市推动人工智能+行动计划2024-2025,https://www.beijing.gov.cn/zhengce/zhengcefagui/202503/t20250325_4043893.html,ai_policy,AI+场景政策
policy_008,P0,auto_html,国务院人工智能+行动意见,https://www.gov.cn/zhengce/zhengceku/202508/content_7037862.htm,ai_policy,国家顶层政策
policy_009,P0,auto_html,城市全域数字化转型指导意见,https://www.gov.cn/zhengce/zhengceku/202405/content_6952353.htm,smart_city,城市数字化政策
policy_010,P0,auto_html,生成式人工智能服务管理暂行办法,https://www.cac.gov.cn/2023-07/13/c_1690898326795531.htm,ai_compliance,AI合规
stats_001,P0,auto_html,海淀区统计公报列表,https://zyk.bjhd.gov.cn/sjkf/tjgb/,statistics,历年统计公报入口
stats_002,P0,auto_html,海淀区2025年统计公报,https://zyk.bjhd.gov.cn/sjkf/tjgb/202604/t20260410_4811526.shtml,statistics,年度统计
stats_003,P0,auto_html,海淀区2024年统计公报,https://zyk.bjhd.gov.cn/sjkf/tjgb/202504/t20250423_4766489.shtml,statistics,年度统计
stats_004,P0,auto_pdf,海淀第五次全国经济普查公报PDF,https://zyk.bjhd.gov.cn/sjkf/tjgb/202509/P020250908358373241269.pdf,statistics,经济普查
stats_005,P1,auto_html,北京市2025年统计公报,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,statistics,市级参照
stats_006,P1,auto_html,北京市2024年统计公报,https://www.beijing.gov.cn/gongkai/shuju/tjgb/202505/t20250529_4102086.html,statistics,市级参照
opendata_001,P0,metadata_html,北京市公共数据开放平台首页,https://data.beijing.gov.cn/,open_data,目录入口
opendata_002,P0,metadata_html,开放目录,https://data.beijing.gov.cn/zyml/kfml/index.htm,open_data,全目录
opendata_003,P0,metadata_html,按主题目录,https://data.beijing.gov.cn/zyml/azt/index.htm,open_data,主题目录
opendata_004,P0,metadata_html,按机构目录,https://data.beijing.gov.cn/zyml/ajg/index.htm,open_data,机构目录
opendata_005,P0,metadata_html,市交通委目录,https://data.beijing.gov.cn/zyml/ajg/sjtw/,transport,交通数据目录
opendata_006,P0,metadata_html,公交站点信息出行服务,https://data.beijing.gov.cn/zyml/ajg/sjtw/17453.htm,transport,下载/API需登录或userKey
opendata_007,P0,metadata_html,乘客引导基础信息,https://data.beijing.gov.cn/zyml/ajg/sjtw/96fb0e66adef41aab7a98797a2e0cd1c.htm,transport,下载/API需登录或userKey
opendata_008,P0,keyed_api,公交站点API文档,https://data.beijing.gov.cn//cms/web/bjdata/api/dataDoc.jsp?contentID=17453,transport,需userKey
opendata_009,P0,keyed_api,乘客引导API文档,https://data.beijing.gov.cn//cms/web/bjdata/api/dataDoc.jsp?contentID=96fb0e66adef41aab7a98797a2e0cd1c,transport,需userKey
park_001,P1,auto_html,京张铁路遗址公园一期开工,https://yllhj.beijing.gov.cn/ztxx/lhysh/st/202201/t20220119_2595406.shtml,park,园林绿化局
park_002,P1,auto_html,京张铁路遗址公园一期南段开放,https://www.beijing.gov.cn/ywdt/gzdt/202302/t20230202_2910777.html,park,首都之窗
park_003,P1,auto_html,京张铁路遗址公园二期开工计划,https://www.beijing.gov.cn/ywdt/gqrd/202409/t20240920_3902264.html,park,首都之窗
park_004,P1,auto_pdf,北京市公园名录2025,https://yllhj.beijing.gov.cn/ggfw/bjsggml/bjsgymlzb/202511/P020251127601806691724.pdf,park,公园名录PDF
heritage_001,P1,auto_html,北京市文物局清华园车站旧址,https://wwj.beijing.gov.cn/bjww/362771/362782/743928533/743928745/index.html,heritage,文保约束
heritage_002,P1,auto_html,清华校史馆百年清华园车站,https://xsg.tsinghua.edu.cn/info/1003/3329.htm,heritage,历史资料
geo_001,P1,geo_api,Overpass API,https://overpass-api.de/api/interpreter,geo,OSM开放地理数据
geo_002,P1,auto_html,OpenStreetMap版权许可,https://www.openstreetmap.org/copyright,geo_license,ODbL许可
case_001,P2,auto_html,Brookings Rise of Innovation Districts,https://www.brookings.edu/essay/rise-of-innovation-districts/,global_case,创新区案例
case_002,P2,auto_pdf,Brookings Innovation Districts PDF,https://www.brookings.edu/wp-content/uploads/2016/07/InnovationDistricts1.pdf,global_case,创新区PDF
case_003,P2,auto_html,Brookings 12 Principles,https://www.brookings.edu/articles/12-principles-guiding-innovation-districts-2/,global_case,创新区原则
case_004,P2,auto_html,OECD Smart Cities and Inclusive Growth,https://www.oecd.org/en/publications/smart-cities-and-inclusive-growth_8a4ce475-en.html,smart_city,智慧城市
case_005,P2,auto_pdf,OECD Smart Cities PDF,https://www.oecd.org/content/dam/oecd/en/publications/reports/2020/08/smart-cities-and-inclusive-growth_332850c0/8a4ce475-en.pdf,smart_city,PDF
case_006,P2,auto_html,UN-Habitat AI and Cities,https://unhabitat.org/ai-cities-risks-applications-and-governance,ai_governance,AI城市治理
case_007,P2,auto_pdf,UN-Habitat AI and Cities PDF,https://unhabitat.org/sites/default/files/2022/10/artificial_intelligence_and_cities_risks_applications_and_governance.pdf,ai_governance,PDF
case_008,P2,auto_html,UN-Habitat Responsible AI in Cities,https://unhabitat.org/global-assessment-of-responsible-ai-in-cities,ai_governance,负责任AI城市
