requirement_id,source_id,requirement_group,title_zh,minimum_response,required_evidence,forbidden_claims_or_limits
1.3.1,DATA-SRC-OFFICIAL-ANNOUNCEMENT-20260509,official_purpose,构建世界级AI创新生态体系,梳理产业基础、智力资源、AI全栈要素和创新生态体系,proposal章节;compliance_matrix;standard_matrix;metrics或assumptions,不得编造企业名单、投资额、产值或政府承诺
1.3.2,DATA-SRC-OFFICIAL-ANNOUNCEMENT-20260509,official_purpose,建设适配AI新质生产力的新型城市形态,说明空间载体、功能复合、职住商服、全生命周期空间供给和运营策略,proposal章节;geometry图层;visual/index.html;assumptions,缺控规条件时不得写成审定容积率、建筑高度或建设规模
1.3.3,DATA-SRC-OFFICIAL-ANNOUNCEMENT-20260509,official_purpose,打造全球AI创新人才向往的高品质城区,回应工作-生活-社交-学习一体化空间系统和AI+城市服务场景,proposal章节;场景卡;用户画像;公共空间图层,不得使用个人隐私或不可人工复核的城市服务场景
1.5.2.2,DATA-SRC-OFFICIAL-ANNOUNCEMENT-20260509,overall_design,城市更新总体框架,提出更新潜力、空间结构、更新项目清单、功能业态和实施政策,proposal章节;phasing.geojson;buildings.geojson;drawings,缺权属、现状建筑和控规条件时只能写概念建议
1.5.2.3,DATA-SRC-OFFICIAL-ANNOUNCEMENT-20260509,overall_design,交通轨道市政配套设施,回应轨道站点一体化、道路微循环、慢行断点、停车、公共服务和新型基础设施,proposal章节;roads.geojson;public_space.geojson;assumptions,缺道路红线、断面、管线、市政和消防资料时不得写成工程结论
1.5.2.4,DATA-SRC-OFFICIAL-ANNOUNCEMENT-20260509,overall_design,京张遗址公园活力带,回应南北贯通、东西连通、慢行系统断点、AI+公共空间、停车体育创新交往和景观节点,proposal章节;green_space.geojson;public_space.geojson;visual/index.html,缺公园实施边界和文保控制线时不得给出工程实施结论
1.5.3.1,DATA-SRC-OFFICIAL-ANNOUNCEMENT-20260509,key_area,众智园AI自主创新加速区,明确全栈自主创新体系、国家级集聚区、潜力用地、交通优化、清河文化和花园型创新街区策略,proposal章节;key_areas.geojson#PROV-KEY-001;land_use.geojson;drawings,provisional polygon 不得作为官方片区边界
1.5.3.2,DATA-SRC-OFFICIAL-ANNOUNCEMENT-20260509,key_area,北京AI原点社区,明确近校型创新街区、成果孵化转化、人才特区、拆改留、轨道站点一体化和低扰动更新,proposal章节;key_areas.geojson#PROV-KEY-002;buildings.geojson;drawings,不得把高校、园区或街区改造写成已获权属同意
1.5.3.3,DATA-SRC-OFFICIAL-ANNOUNCEMENT-20260509,key_area,大钟寺AI产业集聚区,明确智能体、智能终端、内容消费、重点企业周边公共环境、地铁站四象限步行连通和静态交通组织,proposal章节;key_areas.geojson#PROV-KEY-003;roads.geojson;public_space.geojson,不得把大钟寺站一体化改造写成已批准工程
agent.1,DATA-SRC-AGENT-TASKBOOK-20260518,agent_task,一带总体概念与功能统筹方案设计,形成主名称、英文名、命名体系、Logo方向、三大定位、五大功能和三区两翼协同回路,proposal章节;visual identity;overall diagram;compliance_matrix,不得只提交口号式命名或未经授权使用商标字体
agent.2,DATA-SRC-AGENT-TASKBOOK-20260518,agent_task,AI全栈自主创新体系与世界级AI创新生态设计,提供5-8个全球AI创新生态案例和AI创新生态图谱,case table;ecosystem map;source references,不得编造企业名单、产值、投资额或政策承诺
agent.3,DATA-SRC-AGENT-TASKBOOK-20260518,agent_task,AI+场景赋能新范式与智能化AI活力城市设计,提供不少于10张AI场景卡、3个测试验证场景和5类用户画像,scenario cards;persona table;privacy boundary,不得提出隐私侵害、过度监控或无法人工复核场景
agent.4,DATA-SRC-AGENT-TASKBOOK-20260518,agent_task,AI公共空间、智能原生新业态与朝圣地标设计,提出京张遗址公园AI公共空间、智能原生业态和不少于3个朝圣地标,public space plan;landmark catalog;visual section,不得违反文保、绿地、蓝线或交通安全约束
agent.5,DATA-SRC-AGENT-TASKBOOK-20260518,agent_task,百年京张文化、中关村文化与AI新文化融合叙事,形成历史文化、创新文化和AI新文化融合叙事及导视标识方向,cultural narrative;wayfinding direction;copyright statement,不得歪曲历史事实或未经授权使用肖像商标
agent.6,DATA-SRC-AGENT-TASKBOOK-20260518,agent_task,一带全球AI创新活动体系与长期运营设计,形成年度活动体系、开发者社区运营、场景开放运营、国际传播和招引转化机制,operation plan;phasing;metrics/assumptions,不得夸大政府承诺、活动效果或资金支持
